report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2008,GAAPD00,Atlanta,GA,533016,7403,105,126,3864,3308,12,1388.89,19.7,23.64,724.93,620.62
2009,GAAPD00,Atlanta,GA,552901,6359,80,135,3419,2725,12,1150.12,14.47,24.42,618.37,492.85
2010,GAAPD00,Atlanta,GA,420003,5749,93,89,3405,2162,12,1368.8,22.14,21.19,810.71,514.76
2011,GAAPD00,Atlanta,GA,425533,6097,88,148,3518,2343,12,1432.79,20.68,34.78,826.73,550.6
2012,GAAPD00,Atlanta,GA,437041,6027,83,113,3555,2276,12,1379.05,18.99,25.86,813.42,520.77
2013,GAAPD00,Atlanta,GA,451020,5516,83,105,2965,2363,12,1223.01,18.4,23.28,657.4,523.92
2014,GAAPD00,Atlanta,GA,454363,5577,93,151,3004,2329,12,1227.43,20.47,33.23,661.15,512.59
2015,GAAPD00,Atlanta,GA,464710,5203,94,170,2944,1995,,1119.62,20.23,36.58,633.51,429.3
1975,MA01301,Boston,MA,616120,11386,119,453,3036,7778,12,1848.02,19.31,73.52,492.76,1262.42
1976,MA01301,Boston,MA,619437,9888,81,392,3290,6125,12,1596.29,13.08,63.28,531.13,988.8
1977,MA01301,Boston,MA,619321,9422,75,408,3284,5655,12,1521.34,12.11,65.88,530.26,913.1
1978,MA01301,Boston,MA,616225,10035,72,475,3853,5635,12,1628.46,11.68,77.08,625.26,914.44
1979,MA01301,Boston,MA,599582,11392,92,464,4236,6600,12,1899.99,15.34,77.39,706.49,1100.77
1980,MA01301,Boston,MA,562582,12478,92,484,4376,7526,12,2217.99,16.35,86.03,777.84,1337.76
1981,MA01301,Boston,MA,566679,14071,100,531,4192,9248,12,2483.06,17.65,93.7,739.75,1631.96
1982,MA01301,Boston,MA,567758,10970,93,366,3980,6531,12,1932.16,16.38,64.46,701,1150.31
1983,MA01301,Boston,MA,566551,11365,90,367,4195,6713,12,2006,15.89,64.78,740.45,1184.89
1984,MA01301,Boston,MA,565192,10557,82,460,4476,5539,12,1867.86,14.51,81.39,791.94,980.02
1985,MA01301,Boston,MA,573131,11887,87,532,5036,6232,12,2074.05,15.18,92.82,878.68,1087.36
1986,MA01301,Boston,MA,574107,12395,105,516,5549,6225,12,2159.01,18.29,89.88,966.54,1084.29
1987,MA01301,Boston,MA,575882,11954,76,550,5920,5408,12,2075.77,13.2,95.51,1027.99,939.08
1988,MA01301,Boston,MA,579921,12175,93,558,6291,5233,12,2099.42,16.04,96.22,1084.8,902.36
1989,MA01301,Boston,MA,580095,12919,99,483,6471,5866,12,2227.05,17.07,83.26,1115.51,1011.21
1990,MA01301,Boston,MA,574283,13664,143,539,6960,6022,12,2379.31,24.9,93.86,1211.95,1048.61
1991,MA01301,Boston,MA,572454,11829,113,486,6446,4784,12,2066.37,19.74,84.9,1126.03,835.7
1992,MA01301,Boston,MA,572822,11672,73,537,6297,4765,12,2037.63,12.74,93.75,1099.29,831.85
1993,MA01301,Boston,MA,553870,10843,98,480,6184,4081,12,1957.68,17.69,86.66,1116.51,736.82
1994,MA01301,Boston,MA,556724,10664,85,453,5881,4245,12,1915.49,15.27,81.37,1056.36,762.5
1995,MA01301,Boston,MA,550715,9569,96,379,5497,3597,12,1737.56,17.43,68.82,998.16,653.15
1996,MA01301,Boston,MA,552519,9154,59,414,5211,3470,12,1656.78,10.68,74.93,943.13,628.03
1997,MA01301,Boston,MA,555024,7886,43,350,4765,2728,12,1420.84,7.75,63.06,858.52,491.51
1998,MA01301,Boston,MA,559631,7427,34,356,4703,2334,12,1327.12,6.08,63.61,840.38,417.06
1999,MA01301,Boston,MA,557812,7263,31,337,4428,2467,12,1302.05,5.56,60.41,793.82,442.26
2000,MA01301,Boston,MA,589141,7322,39,325,4507,2451,12,1242.83,6.62,55.17,765.01,416.03
2001,MA01301,Boston,MA,591944,7361,65,361,4412,2523,12,1243.53,10.98,60.99,745.34,426.22
2002,MA01301,Boston,MA,596444,6956,60,369,3994,2533,12,1166.25,10.06,61.87,669.64,424.68
2003,MA01301,Boston,MA,589795,7173,39,262,4113,2759,12,1216.19,6.61,44.42,697.36,467.79
2004,MA01301,Boston,MA,580087,6917,61,269,4159,2428,12,1192.41,10.52,46.37,716.96,418.56
2005,MA01301,Boston,MA,567589,7479,73,268,4489,2649,12,1317.68,12.86,47.22,790.89,466.71
2006,MA01301,Boston,MA,562393,7533,75,275,4485,2698,12,1339.45,13.34,48.9,797.49,479.74
2007,MA01301,Boston,MA,591855,6837,65,263,4267,2242,12,1155.18,10.98,44.44,720.95,378.81
2008,MA01301,Boston,MA,604465,6676,62,237,3979,2398,12,1104.45,10.26,39.21,658.27,396.71
2009,MA01301,Boston,MA,624222,6192,50,269,3596,2277,12,991.95,8.01,43.09,576.08,364.77
2010,MA01301,Boston,MA,617594,5819,73,256,3564,1926,12,942.2,11.82,41.45,577.08,311.86
2011,MA01301,Boston,MA,621359,5252,63,271,3014,1904,12,845.24,10.14,43.61,485.07,306.43
2012,MA01301,Boston,MA,630648,5266,57,249,3050,1910,12,835.01,9.04,39.48,483.63,302.86
2013,MA01301,Boston,MA,643799,5037,39,279,2851,1868,12,782.39,6.06,43.34,442.84,290.15
2014,MA01301,Boston,MA,654413,4749,53,280,2736,1680,12,725.69,8.1,42.79,418.08,256.72
2015,MA01301,Boston,MA,665258,4702,38,240,2873,1551,,706.79,5.71,36.08,431.86,233.14
1975,NC06001,Charlotte,NC,262103,1937,68,71,976,822,12,739.02,25.94,27.09,372.37,313.62
1976,NC06001,Charlotte,NC,274020,1895,52,84,1028,731,12,691.56,18.98,30.65,375.16,266.77
1977,NC06001,Charlotte,NC,262314,2245,47,119,1465,614,12,855.84,17.92,45.37,558.49,234.07
1978,NC06001,Charlotte,NC,309101,2435,51,114,1561,709,12,787.77,16.5,36.88,505.01,229.37
1979,NC06001,Charlotte,NC,300569,2485,50,115,1617,703,12,826.77,16.64,38.26,537.98,233.89
1980,NC06001,Charlotte,NC,310794,2759,60,145,1868,686,12,887.73,19.31,46.65,601.04,220.72
1981,NC06001,Charlotte,NC,316503,3166,51,198,2143,774,12,1000.31,16.11,62.56,677.09,244.55
1982,NC06001,Charlotte,NC,320119,4100,48,198,2864,990,12,1280.77,14.99,61.85,894.67,309.26
1983,NC06001,Charlotte,NC,323704,4267,44,258,2863,1102,12,1318.18,13.59,79.7,884.45,340.43
1984,NC06001,Charlotte,NC,331992,4431,54,243,2990,1144,12,1334.67,16.27,73.19,900.62,344.59
1985,NC06001,Charlotte,NC,335690,4575,56,226,3172,1121,12,1362.86,16.68,67.32,944.92,333.94
1986,NC06001,Charlotte,NC,339767,5487,53,305,3675,1454,12,1614.93,15.6,89.77,1081.62,427.94
1987,NC06001,Charlotte,NC,356596,5992,52,308,4146,1486,12,1680.33,14.58,86.37,1162.66,416.72
1988,NC06001,Charlotte,NC,370492,6815,46,315,4521,1933,12,1839.45,12.42,85.02,1220.27,521.74
1989,NC06001,Charlotte,NC,372612,7640,73,325,4873,2369,12,2050.39,19.59,87.22,1307.79,635.78
1990,NC06001,Charlotte,NC,395934,9119,93,384,5434,3208,12,2303.16,23.49,96.99,1372.45,810.24
1991,NC06001,Charlotte,NC,402618,8760,114,407,5340,2899,12,2175.76,28.31,101.09,1326.32,720.04
1992,NC06001,Charlotte,NC,408951,9456,99,361,5938,3058,12,2312.26,24.21,88.27,1452.01,747.77
1993,NC06001,Charlotte,NC,422862,9725,122,356,6020,3227,12,2299.8,28.85,84.19,1423.63,763.13
1994,NC06001,Charlotte,NC,527121,9102,87,350,5952,2713,12,1726.74,16.5,66.4,1129.15,514.68
1995,NC06001,Charlotte,NC,544146,9228,89,366,5824,2949,12,1695.87,16.36,67.26,1070.3,541.95
1996,NC06001,Charlotte,NC,554070,8915,71,306,5944,2594,12,1609,12.81,55.23,1072.79,468.17
1997,NC06001,Charlotte,NC,562005,9165,59,345,6045,2716,12,1630.77,10.5,61.39,1075.61,483.27
1998,NC06001,Charlotte,NC,593078,8627,65,333,5829,2400,12,1454.61,10.96,56.15,982.84,404.67
1999,NC06001,Charlotte,NC,604931,8138,84,262,5275,2517,12,1345.28,13.89,43.31,872,416.08
2000,NC06001,Charlotte,NC,625810,7516,75,308,4482,2651,12,1201,11.98,49.22,716.19,423.61
2001,NC06001,Charlotte,NC,636459,7775,66,293,4420,2996,12,1221.6,10.37,46.04,694.47,470.73
2002,NC06001,Charlotte,NC,646864,7583,67,289,4334,2893,12,1172.27,10.36,44.68,670,447.23
2003,NC06001,Charlotte,NC,668003,7194,66,306,4134,2688,12,1076.94,9.88,45.81,618.86,402.39
2004,NC06001,Charlotte,NC,661883,7275,59,312,4118,2786,12,1099.14,8.91,47.14,622.16,420.92
2005,NC06001,Charlotte,NC,677122,7933,85,323,3876,3649,12,1171.58,12.55,47.7,572.42,538.9
2006,NC06001,Charlotte,NC,699398,7532,83,346,3896,3207,12,1076.93,11.87,49.47,557.05,458.54
2007,NC06001,Charlotte,NC,733291,7233,76,282,3684,3191,12,986.38,10.36,38.46,502.39,435.16
2008,NC06001,Charlotte,NC,758769,7070,83,272,3731,2984,12,931.77,10.94,35.85,491.72,393.27
2009,NC06001,Charlotte,NC,777708,5625,58,303,2918,2346,12,723.28,7.46,38.96,375.21,301.66
2010,NC06001,Charlotte,NC,779541,4891,61,239,2796,1795,12,627.42,7.83,30.66,358.67,230.26
2011,NC06001,Charlotte,NC,789478,4787,56,218,2901,1612,12,606.35,7.09,27.61,367.46,204.19
2012,NC06001,Charlotte,NC,808504,5238,52,223,3165,1798,12,647.86,6.43,27.58,391.46,222.39
2013,NC06001,Charlotte,NC,837638,5093,59,230,2999,1805,12,608.02,7.04,27.46,358.03,215.49
2014,NC06001,Charlotte,NC,856916,5054,47,210,3211,1586,12,589.79,5.48,24.51,374.72,185.08
2015,NC06001,Charlotte,NC,877817,5948,61,216,3724,1947,,677.59,6.95,24.61,424.23,221.8
1975,ILCPD00,Chicago,IL,3150000,37160,818,1657,12514,22171,12,1179.68,25.97,52.6,397.27,703.84
1976,ILCPD00,Chicago,IL,3134499,30640,814,1179,11070,17577,12,977.51,25.97,37.61,353.17,560.76
1977,ILCPD00,Chicago,IL,3086806,28873,823,1227,10311,16512,12,935.37,26.66,39.75,334.03,534.92
1978,ILCPD00,Chicago,IL,3086699,27686,787,1341,10325,15233,12,896.95,25.5,43.44,334.5,493.5
1979,ILCPD00,Chicago,IL,3060801,27807,856,1655,10832,14464,12,908.49,27.97,54.07,353.89,472.56
1980,ILCPD00,Chicago,IL,2986419,28658,863,1329,10205,16261,12,959.61,28.9,44.5,341.71,544.5
1981,ILCPD00,Chicago,IL,3012703,25609,877,1255,7359,16118,12,850.03,29.11,41.66,244.27,535
1982,ILCPD00,Chicago,IL,3010862,26404,668,1112,8317,16307,12,876.96,22.19,36.93,276.23,541.61
1983,ILCPD00,Chicago,IL,3021203,39776,729,2246,13330,23471,12,1316.56,24.13,74.34,441.21,776.88
1984,ILCPD00,Chicago,IL,3012524,60579,741,2883,28420,28535,0,2010.91,24.6,95.7,943.39,947.21
1985,ILCPD00,Chicago,IL,2998841,60011,666,3357,29096,26892,12,2001.14,22.21,111.94,970.24,896.75
1986,ILCPD00,Chicago,IL,3003105,68909,754,3708,33529,30918,12,2294.59,25.11,123.47,1116.48,1029.53
1987,ILCPD00,Chicago,IL,3018338,68368,689,3692,34172,29815,12,2265.09,22.83,122.32,1132.15,987.8
1988,ILCPD00,Chicago,IL,2994100,69318,660,3695,35988,28975,12,2315.15,22.04,123.41,1201.96,967.74
1989,ILCPD00,Chicago,IL,2988260,73590,742,3645,37615,31588,12,2462.64,24.83,121.98,1258.76,1057.07
1990,ILCPD00,Chicago,IL,2783726,82728,851,3607,41114,37156,12,2971.84,30.57,129.57,1476.94,1334.76
1991,ILCPD00,Chicago,IL,2811478,90520,925,3575,42237,43783,12,3219.66,32.9,127.16,1502.31,1557.29
1992,ILCPD00,Chicago,IL,2832901,84242,960,3754,41080,38448,12,2973.7,33.89,132.51,1450.1,1357.2
1993,ILCPD00,Chicago,IL,2788996,79183,862,3379,39753,35189,12,2839.12,30.91,121.15,1425.35,1261.71
1994,ILCPD00,Chicago,IL,2802494,78291,938,3048,40380,33925,12,2793.62,33.47,108.76,1440.86,1210.53
1995,ILCPD00,Chicago,IL,2749811,73011,824,2896,39205,30086,12,2655.13,29.97,105.32,1425.73,1094.11
1996,ILCPD00,Chicago,IL,2754118,67498,789,2752,37097,26860,12,2450.8,28.65,99.92,1346.96,975.27
1997,ILCPD00,Chicago,IL,2765852,65110,757,2545,36519,25289,12,2354.07,27.37,92.02,1320.35,914.33
1998,ILCPD00,Chicago,IL,2750917,62317,703,2387,36110,23117,12,2265.32,25.56,86.77,1312.65,840.34
1999,ILCPD00,Chicago,IL,2821032,51347,641,2469,28027,20210,12,1820.15,22.72,87.52,993.5,716.4
2000,ILCPD00,Chicago,IL,2896016,48522,631,2001,26545,19345,12,1675.47,21.79,69.09,916.6,667.99
2001,ILCPD00,Chicago,IL,2910709,46608,666,1976,25533,18433,12,1601.26,22.88,67.89,877.21,633.28
2002,ILCPD00,Chicago,IL,2938299,45985,648,1963,24842,18532,12,1565.02,22.05,66.81,845.46,630.71
2003,ILCPD00,Chicago,IL,2898374,39483,598,1799,19784,17302,12,1362.25,20.63,62.07,682.59,596.96
2004,ILCPD00,Chicago,IL,2882746,36863,448,1757,18746,15912,12,1278.75,15.54,60.95,650.28,551.97
2005,ILCPD00,Chicago,IL,2873441,36050,448,1695,17943,15964,12,1254.59,15.59,58.99,624.44,555.57
2006,ILCPD00,Chicago,IL,2857796,35363,468,1587,17445,15863,12,1237.42,16.38,55.53,610.44,555.08
2007,ILCPD00,Chicago,IL,2824434,34936,443,1644,17424,15425,12,1236.92,15.68,58.21,616.9,546.13
2008,ILCPD00,Chicago,IL,2829304,35789,510,1594,17032,16653,12,1264.94,18.03,56.34,601.99,588.59
2009,ILCPD00,Chicago,IL,2848431,33501,458,1439,15727,15877,12,1176.12,16.08,50.52,552.13,557.39
2010,ILCPD00,Chicago,IL,2695598,29774,432,1372,13757,14213,12,1104.54,16.03,50.9,510.35,527.27
2011,ILCPD00,Chicago,IL,2703713,28273,431,1459,12408,13975,12,1045.71,15.94,53.96,458.92,516.88
2012,ILCPD00,Chicago,IL,2708382,27620,500,1372,12272,13476,12,1019.8,18.46,50.66,453.11,497.57
2013,ILCPD00,Chicago,IL,2720554,25688,416,1338,12108,11826,12,944.22,15.29,49.18,445.06,434.69
2014,ILCPD00,Chicago,IL,2724121,24133,415,1388,12530,9800,12,885.9,15.23,50.95,459.96,359.75
2015,ILCPD00,Chicago,IL,2728695,24663,478,1432,13104,9649,,903.84,17.52,52.48,480.23,353.61
1975,TXDPD00,Dallas,TX,864665,7655,237,547,3485,3386,12,885.31,27.41,63.26,403.05,391.6
1976,TXDPD00,Dallas,TX,888450,7244,230,591,3310,3113,12,815.35,25.89,66.52,372.56,350.39
1977,TXDPD00,Dallas,TX,873700,8899,224,637,4401,3637,12,1018.54,25.64,72.91,503.72,416.28
1978,TXDPD00,Dallas,TX,871832,9884,230,822,4997,3835,12,1133.7,26.38,94.28,573.16,439.88
1979,TXDPD00,Dallas,TX,882225,11453,307,983,5707,4456,12,1298.19,34.8,111.42,646.89,505.09
1980,TXDPD00,Dallas,TX,900104,12681,319,1121,6258,4983,12,1408.84,35.44,124.54,695.25,553.6
1981,TXDPD00,Dallas,TX,937273,12749,298,1121,5928,5402,12,1360.22,31.79,119.6,632.47,576.35
1982,TXDPD00,Dallas,TX,970624,13053,306,1105,5947,5695,12,1344.8,31.53,113.84,612.7,586.74
1983,TXDPD00,Dallas,TX,998827,11478,268,891,5405,4914,12,1149.15,26.83,89.2,541.13,491.98
1984,TXDPD00,Dallas,TX,987696,12110,294,1022,5953,4841,12,1226.09,29.77,103.47,602.72,490.13
1985,TXDPD00,Dallas,TX,997467,14364,301,1149,6863,6051,12,1440.05,30.18,115.19,688.04,606.64
1986,TXDPD00,Dallas,TX,1016488,19275,347,1255,8384,9289,12,1896.23,34.14,123.46,824.8,913.83
1987,TXDPD00,Dallas,TX,1009947,20086,323,1260,9412,9091,12,1988.82,31.98,124.76,931.93,900.15
1988,TXDPD00,Dallas,TX,1017818,21135,366,1306,9816,9647,12,2076.5,35.96,128.31,964.42,947.81
1989,TXDPD00,Dallas,TX,996320,21228,351,1185,10250,9442,12,2130.64,35.23,118.94,1028.79,947.69
1990,TXDPD00,Dallas,TX,1006877,24550,447,1344,12194,10565,12,2438.23,44.39,133.48,1211.07,1049.28
1991,TXDPD00,Dallas,TX,1028362,26411,500,1208,13449,11254,12,2568.26,48.62,117.47,1307.81,1094.36
1992,TXDPD00,Dallas,TX,1046562,21682,387,1096,10667,9532,12,2071.74,36.98,104.72,1019.24,910.79
1993,TXDPD00,Dallas,TX,1042619,18176,317,1000,9439,7420,12,1743.3,30.4,95.91,905.32,711.67
1994,TXDPD00,Dallas,TX,1062677,16886,295,957,8557,7077,12,1589.01,27.76,90.06,805.23,665.96
1995,TXDPD00,Dallas,TX,1042088,15969,276,852,8942,5899,12,1532.4,26.49,81.76,858.08,566.08
1996,TXDPD00,Dallas,TX,1060585,16280,217,740,9201,6122,12,1535,20.46,69.77,867.54,577.23
1997,TXDPD00,Dallas,TX,1077829,14915,209,744,8336,5626,12,1383.8,19.39,69.03,773.41,521.98
1998,TXDPD00,Dallas,TX,1087178,15932,252,724,9078,5878,12,1465.45,23.18,66.59,835.01,540.67
1999,TXDPD00,Dallas,TX,1091386,15435,191,663,8224,6357,12,1414.26,17.5,60.75,753.54,582.47
2000,TXDPD00,Dallas,TX,1188580,16042,231,633,8132,7046,12,1349.68,19.43,53.26,684.18,592.81
2001,TXDPD00,Dallas,TX,1215553,17776,240,660,8546,8330,12,1462.38,19.74,54.3,703.05,685.28
2002,TXDPD00,Dallas,TX,1241481,17018,196,656,8125,8041,12,1370.78,15.79,52.84,654.46,647.69
2003,TXDPD00,Dallas,TX,1230302,16865,226,601,8075,7963,12,1370.8,18.37,48.85,656.34,647.24
2004,TXDPD00,Dallas,TX,1228613,16165,248,588,7863,7466,12,1315.71,20.19,47.86,639.99,607.68
2005,TXDPD00,Dallas,TX,1230303,15429,202,562,7783,6882,12,1254.08,16.42,45.68,632.61,559.37
2006,TXDPD00,Dallas,TX,1248223,15058,187,665,7292,6914,12,1206.35,14.98,53.28,584.19,553.91
2007,TXDPD00,Dallas,TX,1239104,13248,200,511,5315,7222,12,1069.16,16.14,41.24,428.94,582.84
2008,TXDPD00,Dallas,TX,1276214,11420,170,499,4285,6466,12,894.83,13.32,39.1,335.76,506.65
2009,TXDPD00,Dallas,TX,1290266,10221,166,485,4069,5501,12,792.16,12.87,37.59,315.36,426.35
2010,TXDPD00,Dallas,TX,1197816,9161,148,505,4021,4487,12,764.81,12.36,42.16,335.69,374.6
2011,TXDPD00,Dallas,TX,1223021,8330,133,428,3703,4066,12,681.1,10.87,35,302.77,332.46
