report_year,agency_code,agency_jurisdiction,agency_state,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2006,ILCPD00,Chicago,IL,2857796,35363,468,1587,17445,15863,12,1237.42,16.38,55.53,610.44,555.08
2007,ILCPD00,Chicago,IL,2824434,34936,443,1644,17424,15425,12,1236.92,15.68,58.21,616.9,546.13
2008,ILCPD00,Chicago,IL,2829304,35789,510,1594,17032,16653,12,1264.94,18.03,56.34,601.99,588.59
2009,ILCPD00,Chicago,IL,2848431,33501,458,1439,15727,15877,12,1176.12,16.08,50.52,552.13,557.39
2010,ILCPD00,Chicago,IL,2695598,29774,432,1372,13757,14213,12,1104.54,16.03,50.9,510.35,527.27
2011,ILCPD00,Chicago,IL,2703713,28273,431,1459,12408,13975,12,1045.71,15.94,53.96,458.92,516.88
2012,ILCPD00,Chicago,IL,2708382,27620,500,1372,12272,13476,12,1019.8,18.46,50.66,453.11,497.57
2013,ILCPD00,Chicago,IL,2720554,25688,416,1338,12108,11826,12,944.22,15.29,49.18,445.06,434.69
2014,ILCPD00,Chicago,IL,2724121,24133,415,1388,12530,9800,12,885.9,15.23,50.95,459.96,359.75
2015,ILCPD00,Chicago,IL,2728695,24663,478,1432,13104,9649,,903.84,17.52,52.48,480.23,353.61
1975,HI00200,Honolulu,HI,705262,1596,58,169,319,1050,12,226.3,8.22,23.96,45.23,148.88
1976,HI00200,Honolulu,HI,718424,1696,40,164,380,1112,12,236.07,5.57,22.83,52.89,154.78
1977,HI00200,Honolulu,HI,721983,1660,46,176,357,1081,12,229.92,6.37,24.38,49.45,149.73
1978,HI00200,Honolulu,HI,725259,2044,38,187,346,1473,12,281.83,5.24,25.78,47.71,203.1
1979,HI00200,Honolulu,HI,734368,2196,48,223,357,1568,12,299.03,6.54,30.37,48.61,213.52
1980,HI00200,Honolulu,HI,762020,2456,65,264,398,1729,12,322.3,8.53,34.64,52.23,226.9
1981,HI00200,Honolulu,HI,773331,1965,40,265,340,1320,12,254.1,5.17,34.27,43.97,170.69
1982,HI00200,Honolulu,HI,785181,2151,25,269,400,1457,12,273.95,3.18,34.26,50.94,185.56
1983,HI00200,Honolulu,HI,808092,2136,45,249,599,1243,12,264.33,5.57,30.81,74.13,153.82
1984,HI00200,Honolulu,HI,810772,1950,25,255,553,1117,12,240.51,3.08,31.45,68.21,137.77
1985,HI00200,Honolulu,HI,817083,1801,36,248,552,965,12,220.42,4.41,30.35,67.56,118.1
1986,HI00200,Honolulu,HI,823306,2076,46,241,737,1052,12,252.15,5.59,29.27,89.52,127.78
1987,HI00200,Honolulu,HI,832614,2258,36,322,915,985,12,271.19,4.32,38.67,109.89,118.3
1988,HI00200,Honolulu,HI,838656,2186,28,283,1042,833,12,260.66,3.34,33.74,124.25,99.33
1989,HI00200,Honolulu,HI,848959,2165,43,269,1044,809,0,255.02,5.07,31.69,122.97,95.29
1990,HI00200,Honolulu,HI,836231,2412,34,278,1211,889,12,288.44,4.07,33.24,144.82,106.31
1991,HI00200,Honolulu,HI,856432,2058,29,275,894,860,12,240.3,3.39,32.11,104.39,100.42
1992,HI00200,Honolulu,HI,875297,2382,31,326,1012,1013,12,272.14,3.54,37.24,115.62,115.73
1993,HI00200,Honolulu,HI,875455,2501,31,286,1099,1085,12,285.68,3.54,32.67,125.53,123.94
1994,HI00200,Honolulu,HI,880687,2528,35,266,1169,1058,12,287.05,3.97,30.2,132.74,120.13
1995,HI00200,Honolulu,HI,880266,2882,38,217,1256,1371,12,327.4,4.32,24.65,142.68,155.75
1996,HI00200,Honolulu,HI,878044,2748,27,222,1078,1421,12,312.97,3.08,25.28,122.77,161.84
1997,HI00200,Honolulu,HI,880272,2636,34,257,1131,1214,12,299.45,3.86,29.2,128.48,137.91
1998,HI00200,Honolulu,HI,874736,2342,17,242,1031,1052,12,267.74,1.94,27.67,117.86,120.26
1999,HI00200,Honolulu,HI,866566,2198,37,235,1019,907,12,253.64,4.27,27.12,117.59,104.67
2000,HI00200,Honolulu,HI,876303,2302,20,240,1058,984,12,262.69,2.28,27.39,120.73,112.29
2001,HI00200,Honolulu,HI,885605,2453,20,293,1141,999,12,276.99,2.26,33.08,128.84,112.8
2002,HI00200,Honolulu,HI,900433,2601,18,304,1207,1072,12,288.86,2,33.76,134.05,119.05
2003,HI00200,Honolulu,HI,905301,2606,15,266,1336,989,12,287.86,1.66,29.38,147.58,109.25
2004,HI00200,Honolulu,HI,906589,2507,26,222,1441,818,12,276.53,2.87,24.49,158.95,90.23
2005,HI00200,Honolulu,HI,908521,2570,15,234,1480,841,12,282.88,1.65,25.76,162.9,92.57
2006,HI00200,Honolulu,HI,912693,2745,17,229,1543,956,12,300.76,1.86,25.09,169.06,104.74
2007,HI00200,Honolulu,HI,905903,2613,19,226,1425,943,12,288.44,2.1,24.95,157.3,104.1
2008,HI00200,Honolulu,HI,906349,2575,18,203,1426,928,12,284.11,1.99,22.4,157.33,102.39
2009,HI00200,Honolulu,HI,907124,2537,14,243,1411,869,12,279.68,1.54,26.79,155.55,95.8
2010,HI00200,Honolulu,HI,953297,2548,19,218,1420,891,12,267.28,1.99,22.87,148.96,93.47
2011,HI00200,Honolulu,HI,963465,2370,14,203,1332,821,12,245.99,1.45,21.07,138.25,85.21
2012,HI00200,Honolulu,HI,975875,2336,11,165,1246,914,12,239.37,1.13,16.91,127.68,93.66
2013,HI00200,Honolulu,HI,984683,2276,18,221,1294,743,6,231.14,1.83,22.44,131.41,75.46
2014,HI00200,Honolulu,HI,994034,2273,19,320,1166,768,4,228.66,1.91,32.19,117.3,77.26
2015,HI00200,Honolulu,HI,999307,2437,15,318,1208,896,,243.87,1.5,31.82,120.88,89.66
1975,INIPD00,Indianapolis,IN,503411,4655,95,351,1117,3092,12,924.69,18.87,69.72,221.89,614.21
1976,INIPD00,Indianapolis,IN,494730,4144,68,347,1363,2366,12,837.63,13.74,70.14,275.5,478.24
1977,INIPD00,Indianapolis,IN,509000,3785,80,346,1220,2139,12,743.61,15.72,67.98,239.69,420.24
1978,INIPD00,Indianapolis,IN,513271,3733,76,341,1353,1963,12,727.3,14.81,66.44,263.6,382.45
1979,INIPD00,Indianapolis,IN,513877,4178,92,439,1594,2053,12,813.04,17.9,85.43,310.19,399.51
1980,INIPD00,Indianapolis,IN,698753,4453,107,410,1743,2193,12,637.28,15.31,58.68,249.44,313.84
1981,INIPD00,Indianapolis,IN,461820,4539,65,400,1880,2194,12,982.85,14.07,86.61,407.09,475.08
1982,INIPD00,Indianapolis,IN,462657,4341,69,387,1892,1993,12,938.28,14.91,83.65,408.94,430.77
1983,INIPD00,Indianapolis,IN,463455,4139,56,376,1886,1821,12,893.07,12.08,81.13,406.94,392.92
1984,INIPD00,Indianapolis,IN,471622,4366,49,324,2151,1842,12,925.74,10.39,68.7,456.09,390.57
1985,INIPD00,Indianapolis,IN,471656,4622,59,346,2422,1795,12,979.95,12.51,73.36,513.51,380.57
1986,INIPD00,Indianapolis,IN,470591,4307,63,438,2235,1571,12,915.23,13.39,93.07,474.93,333.84
1987,INIPD00,Indianapolis,IN,478693,4543,57,432,2720,1334,12,949.04,11.91,90.25,568.21,278.68
1988,INIPD00,Indianapolis,IN,483187,5635,79,422,3670,1464,12,1166.22,16.35,87.34,759.54,302.99
1989,INIPD00,Indianapolis,IN,484056,5859,41,483,3529,1806,12,1210.4,8.47,99.78,729.05,373.1
1990,INIPD00,Indianapolis,IN,483549,6224,58,541,3983,1642,12,1287.15,11.99,111.88,823.7,339.57
1991,INIPD00,Indianapolis,IN,489392,7072,95,561,4415,2001,12,1445.06,19.41,114.63,902.14,408.87
1992,INIPD00,Indianapolis,IN,493928,6814,88,541,4028,2157,12,1379.55,17.82,109.53,815.5,436.7
1993,INIPD00,Indianapolis,IN,377723,6292,68,517,3657,2050,12,1665.77,18,136.87,968.17,542.73
1994,INIPD00,Indianapolis,IN,380302,6467,108,483,3422,2454,12,1700.49,28.4,127,899.81,645.28
1995,INIPD00,Indianapolis,IN,373973,5707,82,381,3158,2086,10,1526.05,21.93,101.88,844.45,557.79
1996,INIPD00,Indianapolis,IN,376531,7418,114,424,4280,2600,12,1970.09,30.28,112.61,1136.69,690.51
1997,INIPD00,Indianapolis,IN,378014,7852,118,383,4601,2750,12,2077.17,31.22,101.32,1217.15,727.49
1998,INIPD00,Indianapolis,IN,759689,8624,143,586,5002,2893,12,1135.2,18.82,77.14,658.43,380.81
1999,INIPD00,Indianapolis,IN,759066,7714,113,424,4579,2598,12,1016.25,14.89,55.86,603.24,342.26
2000,INIPD00,Indianapolis,IN,793778,6843,96,443,3753,2551,12,862.08,12.09,55.81,472.8,321.37
2001,INIPD00,Indianapolis,IN,798251,7428,112,442,4087,2787,12,930.53,14.03,55.37,511.99,349.14
2002,INIPD00,Indianapolis,IN,804034,7518,112,441,4028,2937,12,935.04,13.93,54.85,500.97,365.28
2003,INIPD00,Indianapolis,IN,800167,7067,105,420,3714,2828,12,883.19,13.12,52.49,464.15,353.43
2004,INIPD00,Indianapolis,IN,800589,7067,109,479,3716,2763,12,882.73,13.61,59.83,464.16,345.12
2005,INIPD00,Indianapolis,IN,800304,7948,108,527,4039,3274,12,993.12,13.49,65.85,504.68,409.09
2006,INIPD00,Indianapolis,IN,800969,7689,140,549,3751,3249,12,959.96,17.48,68.54,468.31,405.63
2007,INIPD00,Indianapolis,IN,797268,9841,114,505,5176,4046,12,1234.34,14.3,63.34,649.22,507.48
2008,INIPD00,Indianapolis,IN,808329,9735,114,475,5123,4023,12,1204.34,14.1,58.76,633.78,497.69
2009,INIPD00,Indianapolis,IN,813471,9759,99,460,5271,3929,12,1199.67,12.17,56.55,647.96,482.99
2010,INIPD00,Indianapolis,IN,831388,9646,92,461,5726,3367,12,1160.23,11.07,55.45,688.73,404.99
2011,INIPD00,Indianapolis,IN,833024,9170,96,435,5267,3372,12,1100.81,11.52,52.22,632.27,404.79
2012,INIPD00,Indianapolis,IN,838650,9942,97,436,5967,3442,12,1185.48,11.57,51.99,711.5,410.42
2013,INIPD00,Indianapolis,IN,850220,10479,129,656,5894,3800,12,1232.5,15.17,77.16,693.23,446.94
2014,INIPD00,Indianapolis,IN,858238,10768,136,573,6251,3808,12,1254.66,15.85,66.76,728.35,443.7
2015,INIPD00,Indianapolis,IN,863675,11124,148,677,6497,3802,,1287.98,17.14,78.39,752.25,440.21
1975,TNMPD00,Memphis,TN,646483,5429,120,521,1805,2983,12,839.77,18.56,80.59,279.2,461.42
1976,TNMPD00,Memphis,TN,649819,4780,113,472,1766,2429,12,735.59,17.39,72.64,271.77,373.8
1977,TNMPD00,Memphis,TN,667150,5231,105,581,1796,2749,12,784.08,15.74,87.09,269.2,412.05
1978,TNMPD00,Memphis,TN,683112,5412,113,664,1738,2897,12,792.26,16.54,97.2,254.42,424.09
1979,TNMPD00,Memphis,TN,682110,5785,103,704,1678,3300,12,848.1,15.1,103.21,246,483.79
1980,TNMPD00,Memphis,TN,644957,6898,152,788,2112,3846,12,1069.53,23.57,122.18,327.46,596.32
1981,TNMPD00,Memphis,TN,654096,7056,133,760,2071,4092,12,1078.74,20.33,116.19,316.62,625.6
1982,TNMPD00,Memphis,TN,659913,7609,122,713,2370,4404,12,1153.03,18.49,108.04,359.14,667.36
1983,TNMPD00,Memphis,TN,664883,7564,127,763,2181,4493,12,1137.64,19.1,114.76,328.03,675.76
1984,TNMPD00,Memphis,TN,654666,9158,113,794,3488,4763,12,1398.88,17.26,121.28,532.79,727.55
1985,TNMPD00,Memphis,TN,654626,9738,122,903,3697,5016,12,1487.57,18.64,137.94,564.75,766.24
1986,TNMPD00,Memphis,TN,660255,10477,161,919,3578,5819,12,1586.81,24.38,139.19,541.91,881.33
1987,TNMPD00,Memphis,TN,659720,8833,143,831,3163,4696,12,1338.9,21.68,125.96,479.45,711.82
1988,TNMPD00,Memphis,TN,668935,8914,174,863,3415,4462,12,1332.57,26.01,129.01,510.51,667.03
1989,TNMPD00,Memphis,TN,651081,8030,141,781,3327,3781,12,1233.33,21.66,119.95,511,580.73
1990,TNMPD00,Memphis,TN,610337,9082,195,831,3904,4152,12,1488.03,31.95,136.15,639.65,680.28
1991,TNMPD00,Memphis,TN,619981,8818,169,653,3492,4504,12,1422.3,27.26,105.33,563.24,726.47
1992,TNMPD00,Memphis,TN,628865,9764,176,688,3559,5341,12,1552.64,27.99,109.4,565.94,849.31
1993,TNMPD00,Memphis,TN,618981,10113,198,725,3824,5366,12,1633.81,31.99,117.13,617.79,866.91
1994,TNMPD00,Memphis,TN,628375,9855,159,695,4013,4988,12,1568.33,25.3,110.6,638.63,793.79
1995,TNMPD00,Memphis,TN,623902,11039,181,785,4294,5779,12,1769.35,29.01,125.82,688.25,926.27
1996,TNMPD00,Memphis,TN,631626,12535,161,789,5615,5970,12,1984.56,25.49,124.92,888.98,945.18
1997,TNMPD00,Memphis,TN,637492,11836,138,938,5520,5240,12,1856.65,21.65,147.14,865.89,821.97
1998,TNMPD00,Memphis,TN,604242,9057,115,722,4048,4172,12,1498.9,19.03,119.49,669.93,690.45
1999,TNMPD00,Memphis,TN,609851,8602,118,688,4081,3715,12,1410.51,19.35,112.81,669.18,609.17
2000,TNMPD00,Memphis,TN,650100,9616,147,574,4808,4087,12,1479.16,22.61,88.29,739.58,628.67
2001,TNMPD00,Memphis,TN,655898,10906,159,489,5915,4343,12,1662.76,24.24,74.55,901.82,662.15
2002,TNMPD00,Memphis,TN,662441,10416,149,517,5506,4244,12,1572.37,22.49,78.04,831.17,640.66
2003,TNMPD00,Memphis,TN,653858,10312,126,449,5438,4299,12,1577.1,19.27,68.67,831.68,657.48
2004,TNMPD00,Memphis,TN,652526,10093,107,448,5765,3773,12,1546.76,16.4,68.66,883.49,578.21
2005,TNMPD00,Memphis,TN,678988,12637,138,401,7632,4466,12,1861.15,20.32,59.06,1124.03,657.74
2006,TNMPD00,Memphis,TN,680828,13557,149,434,7661,5313,12,1991.25,21.89,63.75,1125.25,780.37
2007,TNMPD00,Memphis,TN,669264,13065,131,450,7613,4871,12,1952.14,19.57,67.24,1137.52,727.81
2008,TNMPD00,Memphis,TN,672046,12939,138,366,7647,4788,12,1925.31,20.53,54.46,1137.87,712.45
2009,TNMPD00,Memphis,TN,667421,12072,132,387,7414,4139,12,1808.75,19.78,57.98,1110.84,620.15
2010,TNMPD00,Memphis,TN,646889,10401,89,433,6642,3237,12,1607.85,13.76,66.94,1026.76,500.39
2011,TNMPD00,Memphis,TN,652725,10338,117,406,6732,3083,12,1583.82,17.92,62.2,1031.37,472.33
2012,TNMPD00,Memphis,TN,657436,11417,134,428,7471,3384,12,1736.59,20.38,65.1,1136.38,514.73
2013,TNMPD00,Memphis,TN,657691,10890,125,458,7173,3134,12,1655.79,19.01,69.64,1090.63,476.52
2014,TNMPD00,Memphis,TN,654922,11420,139,519,7477,3285,12,1743.72,21.22,79.25,1141.66,501.59
2015,TNMPD00,Memphis,TN,657936,11449,135,530,7653,3131,,1740.14,20.52,80.55,1163.18,475.88
1975,LANPD00,New Orleans,LA,571934,5993,158,237,2002,3596,12,1047.85,27.63,41.44,350.04,628.74
1976,LANPD00,New Orleans,LA,557327,4810,170,264,1776,2600,12,863.05,30.5,47.37,318.66,466.51
1977,LANPD00,New Orleans,LA,587776,5947,173,360,2135,3279,12,1011.78,29.43,61.25,363.23,557.87
1978,LANPD00,New Orleans,LA,559160,7635,216,406,2849,4164,12,1365.44,38.63,72.61,509.51,744.69
1979,LANPD00,New Orleans,LA,567656,8894,242,423,2953,5276,12,1566.79,42.63,74.52,520.21,929.44
1980,LANPD00,New Orleans,LA,557761,8172,218,588,2719,4647,12,1465.14,39.08,105.42,487.48,833.15
1981,LANPD00,New Orleans,LA,571771,8121,217,453,2501,4950,12,1420.32,37.95,79.23,437.41,865.73
1982,LANPD00,New Orleans,LA,579338,8604,233,488,2777,5106,12,1485.14,40.22,84.23,479.34,881.35
1983,LANPD00,New Orleans,LA,589508,8048,210,536,2752,4550,12,1365.21,35.62,90.92,466.83,771.83
1984,LANPD00,New Orleans,LA,576071,8687,214,555,3213,4705,12,1507.97,37.15,96.34,557.74,816.74
1985,LANPD00,New Orleans,LA,561364,8222,152,451,3477,4142,12,1464.65,27.08,80.34,619.38,737.85
1986,LANPD00,New Orleans,LA,563927,9165,197,456,3347,5165,12,1625.21,34.93,80.86,593.52,915.9
1987,LANPD00,New Orleans,LA,549536,7678,205,359,3328,3786,12,1397.18,37.3,65.33,605.6,688.94
1988,LANPD00,New Orleans,LA,538047,8923,228,403,3563,4729,12,1658.41,42.38,74.9,662.21,878.92
1989,LANPD00,New Orleans,LA,528589,10203,251,388,4115,5449,12,1930.23,47.48,73.4,778.49,1030.86
1990,LANPD00,New Orleans,LA,496938,11227,304,361,4514,6048,12,2259.24,61.17,72.64,908.36,1217.05
1991,LANPD00,New Orleans,LA,500791,10969,345,302,4353,5969,12,2190.33,68.89,60.3,869.22,1191.91
1992,LANPD00,New Orleans,LA,505008,10007,279,287,4100,5341,12,1981.55,55.25,56.83,811.87,1057.61
1993,LANPD00,New Orleans,LA,491619,10024,395,298,4152,5179,12,2038.98,80.35,60.62,844.56,1053.46
1994,LANPD00,New Orleans,LA,493990,9321,424,436,3639,4822,12,1886.88,85.83,88.26,736.65,976.13
1995,LANPD00,New Orleans,LA,487179,10876,363,487,4677,5349,12,2232.44,74.51,99.96,960.02,1097.95
1996,LANPD00,New Orleans,LA,488300,11021,351,390,4580,5700,12,2257.01,71.88,79.87,937.95,1167.32
1997,LANPD00,New Orleans,LA,488509,8404,267,385,3780,3972,12,1720.34,54.66,78.81,773.78,813.09
1998,LANPD00,New Orleans,LA,471157,6888,230,299,3394,2965,12,1461.93,48.82,63.46,720.35,629.3
1999,LANPD00,New Orleans,LA,465828,5931,158,280,2760,2733,12,1273.22,33.92,60.11,592.49,586.7
2000,LANPD00,New Orleans,LA,484674,5155,204,227,2303,2421,12,1063.6,42.09,46.84,475.16,499.51
2001,LANPD00,New Orleans,LA,484289,5877,213,209,2677,2778,12,1213.53,43.98,43.16,552.77,573.62
2002,LANPD00,New Orleans,LA,486157,4556,258,162,2142,1994,12,937.15,53.07,33.32,440.6,410.16
2003,LANPD00,New Orleans,LA,475128,4596,274,213,2038,2071,12,967.32,57.67,44.83,428.94,435.88
2004,LANPD00,New Orleans,LA,471057,4467,264,189,2178,1836,12,948.29,56.04,40.12,462.36,389.76
2005,LANPD00,New Orleans,LA,463072,2090,138,89,1107,756,6,451.33,29.8,19.22,239.06,163.26
2006,LANPD00,New Orleans,LA,431153,2255,162,87,1245,761,12,523.02,37.57,20.18,288.76,176.5
2007,LANPD00,New Orleans,LA,220614,3451,209,115,1973,1154,12,1564.27,94.74,52.13,894.32,523.09
2008,LANPD00,New Orleans,LA,281440,2869,179,65,1540,1085,12,1019.4,63.6,23.1,547.19,385.52
2009,LANPD00,New Orleans,LA,336425,2614,174,98,1410,932,12,776.99,51.72,29.13,419.11,277.03
2010,LANPD00,New Orleans,LA,343829,2593,175,144,1321,953,12,754.15,50.9,41.88,384.2,277.17
